;airport;departure;destination;total
244.0;LEMG;528.0;330.0;858.0
245.0;KHYA;526.0;391.0;917.0
246.0;KCMA;526.0;444.0;970.0
247.0;09FL;525.0;330.0;855.0
248.0;EDDN;524.0;427.0;951.0
249.0;EFHK;516.0;360.0;876.0
250.0;KHWD;516.0;452.0;968.0
251.0;KGPM;515.0;462.0;977.0
252.0;71KY;514.0;181.0;695.0
253.0;KHIO;511.0;399.0;910.0
254.0;KOWD;511.0;545.0;1056.0
255.0;KOQN;510.0;407.0;917.0
256.0;KUMP;509.0;434.0;943.0
257.0;FD83;508.0;568.0;1076.0
258.0;KOSU;504.0;336.0;840.0
259.0;LGAV;503.0;387.0;890.0
260.0;KTTA;502.0;371.0;873.0
261.0;UUEE;498.0;334.0;832.0
262.0;KACK;494.0;269.0;763.0
263.0;EDDV;493.0;412.0;905.0
264.0;KC29;493.0;447.0;940.0
265.0;KYIP;492.0;360.0;852.0
266.0;EBCI;491.0;332.0;823.0
267.0;SBGR;490.0;322.0;812.0
268.0;EDDT;490.0;340.0;830.0
269.0;LPPT;487.0;294.0;781.0
270.0;KHVN;486.0;336.0;822.0
271.0;LIRA;486.0;364.0;850.0
272.0;KMHR;484.0;339.0;823.0
273.0;KFOK;483.0;336.0;819.0
274.0;KLXT;483.0;355.0;838.0
275.0;KPUB;482.0;478.0;960.0
276.0;KVDF;482.0;431.0;913.0
277.0;KASG;482.0;383.0;865.0
278.0;KLVK;481.0;350.0;831.0
279.0;K1H0;480.0;412.0;892.0
280.0;LFBO;480.0;318.0;798.0
281.0;EGBB;478.0;363.0;841.0
282.0;KDXR;477.0;363.0;840.0
283.0;01FL;476.0;356.0;832.0
284.0;KFTG;475.0;504.0;979.0
285.0;EHRD;475.0;390.0;865.0
286.0;ENGM;475.0;327.0;802.0
287.0;KANE;474.0;355.0;829.0
288.0;LFBD;472.0;349.0;821.0
289.0;EGNX;470.0;346.0;816.0
290.0;KMCC;470.0;391.0;861.0
291.0;KCCR;469.0;396.0;865.0
292.0;LIML;468.0;394.0;862.0
293.0;KGNV;467.0;312.0;779.0
294.0;KFYV;467.0;371.0;838.0
295.0;KLEB;464.0;315.0;779.0
296.0;OMDB;464.0;326.0;790.0
297.0;KHSD;464.0;446.0;910.0
298.0;KSPG;463.0;521.0;984.0
299.0;KMYF;462.0;392.0;854.0
300.0;KJVY;461.0;327.0;788.0
301.0;KPIA;459.0;208.0;667.0
302.0;KCVG;457.0;282.0;739.0
303.0;KT82;457.0;257.0;714.0
304.0;KCNO;454.0;225.0;679.0
305.0;KMEM;454.0;224.0;678.0
306.0;KMVY;454.0;358.0;812.0
307.0;KFME;452.0;440.0;892.0
308.0;LOWS;450.0;359.0;809.0
309.0;LIPZ;449.0;280.0;729.0
310.0;GA53;447.0;452.0;899.0
311.0;02XS;444.0;704.0;1148.0
312.0;KBLI;444.0;331.0;775.0
313.0;KRDG;443.0;225.0;668.0
314.0;LTBA;442.0;256.0;698.0
315.0;KFFZ;437.0;384.0;821.0
316.0;CYHM;436.0;395.0;831.0
317.0;KXLL;430.0;345.0;775.0
318.0;LIME;430.0;303.0;733.0
319.0;EGPH;429.0;296.0;725.0
320.0;EGGD;428.0;315.0;743.0
321.0;EBLG;427.0;358.0;785.0
322.0;KTPF;425.0;361.0;786.0
323.0;KHXD;424.0;283.0;707.0
324.0;KCEU;423.0;287.0;710.0
325.0;KPVD;423.0;308.0;731.0
326.0;EDNY;422.0;331.0;753.0
327.0;KBVY;422.0;407.0;829.0
328.0;KGTU;421.0;192.0;613.0
329.0;KESN;420.0;170.0;590.0
330.0;KTEX;420.0;277.0;697.0
331.0;EBMB;417.0;504.0;921.0
332.0;KERV;416.0;139.0;555.0
333.0;K52F;416.0;377.0;793.0
334.0;KSPI;414.0;314.0;728.0
335.0;KSAC;412.0;381.0;793.0
336.0;LLBG;412.0;314.0;726.0
337.0;FL57;411.0;565.0;976.0
338.0;4II2;409.0;262.0;671.0
339.0;K2W6;406.0;342.0;748.0
340.0;KSJT;406.0;324.0;730.0
341.0;LFPO;406.0;240.0;646.0
342.0;LFML;405.0;276.0;681.0
343.0;WS17;405.0;228.0;633.0
344.0;KMWC;405.0;356.0;761.0
345.0;KFNL;404.0;329.0;733.0
346.0;KSEE;403.0;355.0;758.0
347.0;KHHR;399.0;695.0;1094.0
348.0;EBAW;399.0;330.0;729.0
349.0;KIGQ;398.0;390.0;788.0
350.0;KCRG;398.0;285.0;683.0
351.0;LZIB;397.0;308.0;705.0
352.0;KSMO;396.0;342.0;738.0
353.0;EDDP;396.0;211.0;607.0
354.0;EDFH;395.0;289.0;684.0
355.0;KMRY;395.0;289.0;684.0
356.0;EGGP;395.0;310.0;705.0
357.0;KCMI;394.0;241.0;635.0
358.0;KPNS;393.0;229.0;622.0
359.0;KDAA;393.0;287.0;680.0
360.0;KSQL;391.0;434.0;825.0
361.0;KSYR;389.0;215.0;604.0
362.0;KEWB;387.0;305.0;692.0
363.0;KGLE;387.0;325.0;712.0
364.0;CYOW;385.0;254.0;639.0
